type,id,lat,lon,tags
node,1977153767,53.5523054,9.9820507,"{'amenity': 'fountain', 'description': 'Denkmal Hans Hummel', 'historic': 'memorial', 'inscription': 'Mit denn Boo-Verdeen to Hamborg tohoop oevergeven von deen Vereen geb. Hamborger r.v. von 1897 an de Hansestadt Hamborg Suenndag den 13. SEPT. 1938', 'memorial:type': 'statue', 'name': 'Hummelbrunnen', 'start_date': '1938', 'wikidata': 'Q102702', 'wikipedia': 'de:Hans Hummel'}"
node,1982537058,53.6612752,9.7960428,{'amenity': 'fountain'}
node,2018243207,53.6775901,10.2001895,"{'access': 'private', 'amenity': 'drinking_water', 'source': 'survey'}"
node,2019494283,53.6714554,10.2043919,"{'access': 'private', 'amenity': 'drinking_water', 'source': 'survey'}"
node,2179109790,53.7309969,9.903885,{'amenity': 'fountain'}
node,2180031285,53.6225748,10.077818,{'amenity': 'drinking_water'}
node,2182194876,53.6249686,10.07171,{'amenity': 'drinking_water'}
node,2192603835,53.6513433,9.8293023,{'amenity': 'fountain'}
node,2197832049,53.6679925,10.2417322,"{'amenity': 'drinking_water', 'emergency': 'yes', 'name': 'Notbrunnen'}"
node,2337632344,53.6402998,9.9472458,{'amenity': 'drinking_water'}
node,2367279130,53.4747258,10.2340832,{'amenity': 'fountain'}
node,2465096768,53.5669297,9.9837586,"{'amenity': 'fountain', 'drinking_water': 'no'}"
node,2509597922,53.5519049,10.1211357,{'amenity': 'drinking_water'}
node,2509597945,53.5520712,10.1209075,{'amenity': 'drinking_water'}
node,2509597963,53.5522675,10.1206204,{'amenity': 'drinking_water'}
node,2589243215,53.5684383,10.0532999,{'amenity': 'fountain'}
node,2701248745,53.6206795,9.9088779,"{'amenity': 'fountain', 'name': 'Höffner'}"
node,2797382775,53.5469696,9.9910994,{'amenity': 'fountain'}
node,2856178609,53.6705205,10.2386257,{'amenity': 'fountain'}
node,2945789837,53.6527359,10.0920665,"{'amenity': 'fountain', 'name': 'Antje-Denkmal'}"
node,2945791609,53.5637605,9.9898515,{'amenity': 'fountain'}
node,3027832513,53.595193,10.0273617,{'amenity': 'fountain'}
node,3027832518,53.5954375,10.0263889,{'amenity': 'fountain'}
node,3151819715,53.5731151,10.0740969,{'amenity': 'fountain'}
node,3159733187,53.5784413,10.0546534,{'amenity': 'fountain'}
node,3161347068,53.5778523,10.052309,{'amenity': 'fountain'}
node,3304393499,53.5553595,9.9588404,"{'amenity': 'fountain', 'drinking_water': 'no', 'lit': 'no'}"
node,3510447536,53.4713099,9.6948946,"{'amenity': 'drinking_water', 'fee': 'yes'}"
node,3668956626,53.5780091,10.0542,{'amenity': 'fountain'}
node,3693963552,53.616481,10.087139,{'amenity': 'drinking_water'}
node,3693963583,53.6169611,10.0868886,{'amenity': 'drinking_water'}
node,3693963606,53.6174766,10.0873813,{'amenity': 'drinking_water'}
node,3693964831,53.6177221,10.0869616,{'amenity': 'drinking_water'}
node,3763831837,53.4268728,10.2961728,{'amenity': 'drinking_water'}
node,3898109118,53.5481635,9.9419923,{'amenity': 'fountain'}
node,3898109119,53.5481638,9.9419389,{'amenity': 'fountain'}
node,3898109120,53.548183,9.9418923,{'amenity': 'fountain'}
node,4046953277,53.626006,10.0831994,{'amenity': 'drinking_water'}
node,4197429031,53.5509746,9.9919829,"{'amenity': 'drinking_water', 'operator': 'Hamburg Wasser'}"
node,4226261823,53.5623873,9.9788922,"{'amenity': 'fountain', 'name': 'Wasserkaskaden'}"
node,4382275169,53.5780781,10.0169865,{'amenity': 'fountain'}
