latitude,longitude,Name,Typ
47.04963455,8.303813571,Kleiner Franziskanerbrunnen,FOUNTAIN_TYPE_DRINKING
47.04564994,8.303320325,Gartenanlage Dula Schulhaus,
47.05016481,8.305162911,Privater Brunnenanschluss,
47.04484461,8.305042284,Springbrunnen Obergrundstrasse 61,type_springbrunnen
47.04488951,8.304567934,Brunnen Obergrundstrasse,FOUNTAIN_TYPE_DRINKING
47.04950669,8.302396686,Privater Brunnenanschluss,
47.05009477,8.303028546,Privater Brunnenanschluss,
47.05041023,8.303283166,Privater Brunnenanschluss,Aquarium
47.04392479,8.306747165,Springbrunnen Bleicherstrasse 17,type_springbrunnen
47.05071772,8.303488043,Privater Brunnenanschluss,
47.05013083,8.302356402,RÃ¼tigassbrunnen,type_springbrunnen
47.0438968,8.306884983,Gussbrunnen,FOUNTAIN_TYPE_DRINKING
47.04977358,8.301353974,Privater Brunnenanschluss Hotel Rothaus/Klosterstrasse 4,Aquarium
47.05077071,8.302179469,Privater Brunnenanschluss Innenhof Pfistergasse 15,
47.05153984,8.304260355,Privater Brunnenanschluss Metzgerrainle,unbekannt
47.05199274,8.306348739,Privater Brunnenanschluss Braui,
47.05166443,8.303300472,Schwanenbrunnen,
47.05208343,8.303755536,Trinkbrunnen,unbekannt
47.05068475,8.30052362,Privater Brunnenanschluss hirschengraben 53,
47.05228244,8.304060273,Hofbrunnen RÃ¶ssligasse,FOUNTAIN_TYPE_DRINKING
47.0524,8.30297,LÃ¶wengrabenbrunnen,FOUNTAIN_TYPE_DRINKING
47.052254,8.303447776,Privater Brunnenanschluss,unbekannt
47.05062472,8.300287772,Privater Brunnenanschluss Egli Bestattungen,
47.05236137,8.304257369,Privater Brunnenanschluss,
47.05255,8.3048,SÃ¼esswinkelbrunnen,FOUNTAIN_TYPE_DRINKING
47.05086549,8.300182112,Wandbrunnen von Moos,
47.05240487,8.302977163,Privater Brunnenanschluss,
47.05290858,8.30833681,Privater Brunnenanschluss,
47.05290807,8.308105395,Privater Brunnenanschluss,
47.05142305,8.299685803,Eckbrunnen Baselstrasse,type_zierbrunnen
47.0473193,8.297265327,Privater Brunnenanschluss,unbekannt
47.04187747,8.310535346,Industriestrassenbrunnen,FOUNTAIN_TYPE_DRINKING
47.04146776,8.30306667,Privater Brunnenanschluss,
47.05373747,8.308117955,Privater Brunnenanschluss Grendelstrasse,
47.05395887,8.30719605,Hertensteinbrunnen,FOUNTAIN_TYPE_DRINKING
47.04679013,8.316009422,Alpenquaibrunnen,FOUNTAIN_TYPE_DRINKING
47.04642896,8.296196678,SÃ¤lihaldebrunnen,type_spielbrunnen
47.04186279,8.299908575,Steinhof Springbrunnen,type_springbrunnen
47.05435694,8.309570366,Privater Brunnenanschluss,
47.0518162,8.297073193,Sentibrunnen,FOUNTAIN_TYPE_DRINKING
47.0524102,8.297380285,Innenhofbrunnen Baselstrasse,type_zierbrunnen
47.04355741,8.316018575,RÃ¶sslimattbrunnen,type_zierbrunnen
47.04071172,8.299938147,Privater Brunnenanschluss,Ziehbrunnen
47.03953961,8.305116693,Schulhausbrunnen Moosmatt,FOUNTAIN_TYPE_DRINKING
47.04143644,8.313877202,Privater Brunnenanschluss,unbekannt
47.03948291,8.304261401,Wandbrunnen Moosmattstrasse,FOUNTAIN_TYPE_DRINKING
47.0526701,8.296287182,Eisenbahnerbrunnen,FOUNTAIN_TYPE_DRINKING
47.04639588,8.318689374,SchÃ¶ttibrunnen,FOUNTAIN_TYPE_DRINKING
47.05109974,8.294459043,GÃ¼tschbrunnen,FOUNTAIN_TYPE_DRINKING
47.03997071,8.299128073,Privater Brunnenanschluss,
47.05662037,8.309861786,Fluhmattbrunnen,FOUNTAIN_TYPE_DRINKING
47.04666654,8.319927758,Bootshafenbrunnen ,type_sprudelbrunnen
47.04664965,8.292006074,Privater Brunnenanschluss,unbekannt
47.05594498,8.313863128,Probsteibrunnen,type_zierbrunnen
47.05364639,8.294558378,Baselstrassebrunnen,FOUNTAIN_TYPE_DRINKING
47.05350908,8.294287203,Ruckstuhlbrunnen,FOUNTAIN_TYPE_DRINKING
47.03797659,8.299949616,SchÃ¤ferwegbrunnen,FOUNTAIN_TYPE_DRINKING
47.03686434,8.306010649,Hubelmattbrunnen,
47.03671366,8.307296242,Delphinbrunnen,FOUNTAIN_TYPE_DRINKING
47.03734065,8.300547178,Zimmerwerkbrunnen II,FOUNTAIN_TYPE_DRINKING
47.03721823,8.300991481,Zimmerwerkbrunnen,FOUNTAIN_TYPE_DRINKING
47.04976534,8.29035053,FÃ¶rsterbrunnen GÃ¼tsch,FOUNTAIN_TYPE_DRINKING
