X,Y,Name,Description
7.6026759,47.5469504,Arbeitsrappen-Brunnen,"<img src=""https://doc-08-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/0hgfnb8t45daafs4k2o1r4dnv0/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALpCScGGQF6fZSclfruIZRSkP7ME_3Kwx0U2vf0d0QL8xOAyUrCqmXbcVI9OJgXdaCiBHdndmE84LM_-Q5qi29kNNy4d40NkdydK9CuRdm1zbdUa7AeKc8x0rP2YVwCl3VQalbX6741QNFEGLT8R7VcALtaLVk2YqphZY4DbPHtUZiSyTI-R977r6acs7s0nXLdCxEXTpt3YYPhiz4i1nkyFfNm13p9B536pfz71vJox5hsC2CkhH1EGajgCPuFvnFFU8gvVpbdHZ1G6K1nK2xqtTqC9AA?fife"" height=""200"" width=""auto"" /><br><br>Andreas Heusler-Strasse  (Foto Christian Lienhard, Basel)"
7.576244,47.5631379,Augenheilanstalt-Brunnen,"<img src=""https://doc-10-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/h8dqin1ja6uksket65lpocn5oc/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALqpbmc5Wh_TBmkfznEE_L9iaB3jp-2CBSnNv1BnR1S3vzLo0Gy9w1vyvQHF6bOmTudAYnI5hmoN24ltAWMVUXXWAeRMevGaWbeYne_xj6NHyGxI5oujb-3lh8a7z4j3HlzxKJAE2rKQ1wx9N0NdirRMe6I4kPYHJvq4b5dt7_zxAy5y8zgOxqouhX0s8HASv565Rmi39ZDgNyD5RKwVQmhiTKknHuRNpdqsS_Ir5e3wYEgKmS_v2oc3GhKx3if-sj4wsL8MfW2P3-nd42E0fwYoq92t2g?fife"" height=""200"" width=""auto"" /><br><br>Mittlere Strasse / St. Johanns-Ring (Foto Christian Lienhard, Basel)"
7.5894365,47.5574463,Drei Meerweiber-Brunnen,Stapfelberg
7.5903538,47.5579803,Augustiner-Brunnen,"<img src=""https://doc-0k-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/1lq2kqphc1vd2oud85gr893re4/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALqHe0oVXdvrO6DY6x662kLEWeLKZw7fPahyRezfDMk200_Cfyv7CA88qL2pxtWgU6DjzCsyFR75WBBNkTgETZ1mNzc6ttF23RwGHTvGdKVVxVBF74q6x9O1sH_A-6cSc1i9dr7-y5uZzIIxzOZ03O_vsK6pUNyX3AYGz1yXMaC9TbsRRYF-3dUVLIrlcyUbwKXZipXlxZAWAqGcakmdvV58hwghFaNXX45THBsa2KbChxXrKOrt2YKzVj-G4RtdQIn840MHmBJCuTck5lmVNS5gFmr5lA?fife"" height=""200"" width=""auto"" /><br><br>Augustinergasse 1 / Rheinsprung (Foto Christian Lienhard, Basel)"
7.5977124,47.560565,Basilisk,"<img src=""https://doc-0s-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/tkqa2faau13e1l7c5g5dfo8bhk/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALprPVS5m9incgdQd2KXHqnhp_f5J48bim1FQDnJln_7mAtzo2Blh1cgiv5DIAkHD8rWrHCZsLMw9y2yk1TM2bpQACOz44u5tzDsNGRdCFbtZwfU_BqZXaW4MTngB6y757uPXoghB_xpeVyOAPh-EXX55kXrweMACBEJ1mUDFfCr2I8PMPfIGCqP6pGzoFwvff1jiCCiCrOPGbJYXzWMMaoZSvO_-SnnQ79N42OlX893WAXFyFUffUJ5QRiCvb3IBAkxzTj18pdH5G1KdYgux0vtpqe_vw?fife"" height=""200"" width=""auto"" /><br><br>Riehentorstrasse/Hammerstrasse  (Foto Christian Lienhard, Basel)"
7.5873899,47.5337858,Basilisk,"<img src=""https://doc-08-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/lc06dbii6cn0c4r26h3gheeai0/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALpBgD97VEbpNmxHomFpIUfpVL7hrSZeZSG5t-bnME-n1nX_taZfQgamSfmkINZKGxXAZhLfuiFefXmyK4wZu3Cz7FzhTrrRRNnIG8JDOiWAwzJXWA4Df7-StANh2mqGKorL3qXR392cT70lwU9bbB8E9ENEtXHAMajffChM-aYfNWQ3jWeIsYK51g0foVkjuHIEUj76Ih92-iX5bd2uyKIOaPytVRoVN8SxX1MsgTrV1yku5k5xE0un3GFTJiAdI4tpKAC2jUReag-I9OD9ygPa8sg2rQ?fife"" height=""200"" width=""auto"" /><br><br>Bruderholzallee / Oberer Batterieweg (Foto Christian Lienhard, Basel)"
7.5717205,47.5604546,Basilisk,"<img src=""https://doc-0g-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/0go8fak6gpic3350ptpggftpmg/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALrdfMTOZ80Gn54D9Fr-c-Ahzonm_neZE1a8eH1oDFaE_lJRH4fSI5HUtK8rcqngcBbIMxwyRJayEcavZDdTFVX0HvhbWhVZpsx5AhDHyaObg2UPWLfcWDDbPQaacB9txd5j1faMLe_0VnxOmupLNNFoqHM9sD-whXfsA3Ju8GpF28zjwYAbmdR55JDQoX6hLc6vsYboATg36tIISyoRdQGhv8JUw1KvOEdveGfXzC56z1TgLx-3f9Kz7DEWaT5-OmT8pkKn9YOrrbNQt53eaT2j0B14uw?fife"" height=""200"" width=""auto"" /><br><br>Colmarerstrasse / Hegenheimerstrasse  (Foto Christian Lienhard, Basel)<br><br><img src=""https://doc-08-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/4nc37hls5l4n7gtcoar0hi9u1c/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALoQGEj6eXAUPLcnWmX4dUfhwjh8Rgn1uqtSIFrQLxEJ0x_5O-tmZHYQPijC5Dp1fFXmHr7zfa_jQ7_7pv3ZtXWoLP3S23VsXL2lzkTtp2OZI3m_7UOldgEANUClnB2mj9At4vrWrshX7khrt1_0PrTU8O6yT6KY2YrPisIALnYZ7WCzozzevYrL2YQc_3E6-v_XUxLspYnL8vNbMpNZkLSzsrtU2k8HznS4MeE0TgKwHCSs4ovuErQ63ewHFC7VAtMoyNRnsdf0poNBGamhY1iLmGApeQ?fife"" height=""200"" width=""auto"" />"
7.5886251,47.5565738,Basilisk,"<img src=""https://doc-08-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/o0qtj1hq844l2r6pgga02c7udk/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALopkQmgHBPFy5pFb5KYF_UTaDon8Ti2u5iLXRPuAOIfL94a7rt2zlMzSMEE79r53iIS5PSIhZOtBI8iIzfglW5d-g2zrukgDdc71kLEEv6aWy9aPJTg_Z7GkyimpHhPxeIN0dGRdpB-GFnDJG_UtNr4CW8xyeft0ygooAq5ocWp176G3PeC4w1-R0FQVXjGGA7Ie_QiY4tbshD9hYtgeV0UZT01Mvc9bt_bidWguiIh1ppb5So5qlywkimbgXBF_nkgFKxNOxllvGFdXUVkIzT2hQBzIw?fife"" height=""200"" width=""auto"" /><br><br>Gerbergasse / Rüdengasse (Foto Christian Lienhard, Basel)"
7.5970352,47.5582762,Basilisk,"<img src=""https://doc-0k-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/vt8auo718vsdddkcqmdbi4ifkg/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALod18TMxc_alp8hGe0p1T4B-bbDzgEImYgpkP8Ar3uFq4vjpaP8vPLHfnykFQ_DUdkU0E2ccY4DYJxm5niC-pIx9vo_GzgrUqyABjBnk1m6BiwhzxNpEOeRAPFxRQZh82t7CHa4SJ_xnXlKswaudL-aR_UjvVeKSiTLnNB8dIlG1UR6LtWCSr0gcy6dAID2E2as1Hjbr5GiR0CbrdIoSee5CLx2HgU70oKGKVPfKaGWfjcM58yDGcs6GmXPBPj2PMgWwLELVSaCKhlHfs-QaIuOwkoTfg?fife"" height=""200"" width=""auto"" /><br><br>Theodorskirchplatz 7 (Hof Waisenhaus)  (Foto Christian Lienhard, Basel)"
7.5690919,47.5643685,Basilisk,"<img src=""https://doc-0o-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/9al4vaerjr0g81jr5ldr57jkrg/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALprezv-nK8cngeUt9ooZJ7pZgPx444Lmfl5q0lChaRDLEP7ydkxreo4LvF1T2Sy6jX4KWkICOlLTwRjCMIPU3WjaHQXkLC3goaV5kBp2CWjyuMMYih-ICAe2bokQ6AuSPgpk086taHdA5EBXU2bY-7nX5PTasOLM1FTT26ESi2BRzF1rmQ1KceIiVt4Q_WQ-fDyScSWgoIaGiMnr0J-hOB-ESQxDcsHD5v_JxHQ3JhPkp6ECWL28g9gCC9AHPGYBt8woHMdrB90ZR_Kx95NqovNp-9_1g?fife"" height=""200"" width=""auto"" /><br><br>Burgfelderstrasse vor Kannenfeldpark  (Foto Christian Lienhard, Basel)"
7.5988108,47.5478565,Basilisk,"<img src=""https://doc-0g-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/sk8mabf2t5i3lf8a7r2aibtnn0/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALoVOXuX4N1EbaM5vXvS3DsBr4amMpSaHH5Zi1wi8b3BU6teBTvu3uqOJB-XL0P7Y_K1JfuSkrj0Oquxw5vH6xR_S4SPmbosIXRySXDke0ytWw1YmV_k_rERjskXh-YE0bLZ14-dKawkvaOsQpMD6uvE1ww4c-rOgiRFBEtrdLO3j6Nz1OHpmZupodnomlvKigf7VzPPNb0dkg8ODFxVSA8hG80kSWrmDY8tQIn_l-uch1kVkWIcgozTC2x7PVxubuRo3rBISkvdZafn4h3_77OjffzLyg?fife"" height=""200"" width=""auto"" /><br><br>St. Jakobs-Strasse / Sevogelstrasse  (Foto Christian Lienhard, Basel)"
7.5972685,47.562003,Basilisk,"<img src=""https://doc-0s-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/d8eqpu2gsb6doa1he6ml0ur80g/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALrBrkExrjjMj8k2O7J6QZDPIIJg4Twa1Imu6geIKNyRuMB-rga2ZwhZfhUOjBxLq_TR9yjrEUX2mNktwYiZEoIwLMkIQCJYu-fvNK9IFpzVDxnjjfjv3-rPkecdTxgJZf47L0Fpmuz2FnidAo7bXl2OgXskuBFymHQYDG95xr5oSehQ0qA0ami2jJbMZabSLA9M97Yg-CTAQHPRAzK2oej5pF-QXPSDWukxjioibdo2hYPxGXqJCOOwkKdyEqJeZ97_3xJi8z-Ynri56wBfpEsLVUEKzg?fife"" height=""200"" width=""auto"" /><br><br>Hammerstrasse / Clarahofweg (Foto Christian Lienhard, Basel)"
7.6068172,47.546448,Basilisk,"<img src=""https://doc-0k-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/arjslhl744fi2gm3am20483s0c/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALoah9hNY_g_KapXwA_xRgqkFdukLkbV-8EtckxtnPVZaDe1paXRGPw1yZfVhK6xlvQfAvMtnMtCa3fFPzrw-SjCH1sJxd9MqzBvMMPJ2_KPf5354KhjRuNNdEYVgpxtWS5AvMWYc6kCJj9O5cpGwPanpAymE-OIUHMzRcBI7Eg-RmUKH94i-chcpi9UHkedVinrNAGsl9plyxTlJKU6mSoB4JoEPRCCtfzGse21tPrbPW1lhPw29STP5FTfmTYO9cVMWX1GovtMw8iQTiLzys5D-yEiwQ?fife"" height=""200"" width=""auto"" /><br><br>Engelgasse / St. Alban-Ring (Foto Christian Lienhard, Basel)"
7.5948505,47.5686478,Basilisk,"<img src=""https://doc-08-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/gpofhq5i55n3u8v1mp6aimui8o/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALqhBk99EvKrryvX9S_qod1Gagf_Lkt9KT4uwGyewD5D28xY9HfdqDQWQfOPAWXxMU1Hn01W0wVoYm_tJOd4UWXq9wqBnkKpe5KYnbZf3QeZJTlAPZ6mGzftSJSCPRU3ERLWMEPg2evA_k9RE-Tk-q7vFW1y7fohQ3GliK1IrJqApLDCHm0XcsKxnyXkyJaKL4crwg00YD7Dlnq5IZN5xvLW8ZXwoVJ2IBfQ8oaq3zRdPJv8kHKa0BMRljW9CckY0F1G1QBat10-Oo2r9CS-GnpH8KnyXw?fife"" height=""200"" width=""auto"" /><br><br>Bläsiring / Hammerstrasse  (Foto Christian Lienhard, Basel)"
7.5970432,47.5332878,Basilisk,"<img src=""https://doc-0g-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/d83vhb50bve2rugj5ho50emffo/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALrOH2vjDXV9ntPMlAgyKwgn0S6kH-YZY3b-_-X6zCi5RZ5GVxhGRxAbcaCSrpc6ufGEASZQ68QmuGw5X3gofgs3Ycn0OtlzwCcARSa8mOpNwqPe-L7XVYikDokB7Ad4WqIHqEO-mdyJB-Vruy1AZM4U8hAtelx8u18VZd1OZeh63Yp_RDZF-TedXY5SyiV16feEJ3ykruFqHT546IYMMgG8P7lSty030uKadz29cuNEWjDm5KxwDr6HuqGUV80BmPqz-oXspyfeRTIyFrJwEnSzL7zC8Q?fife"" height=""200"" width=""auto"" /><br><br>Bruderholzallee / Fritz Hauser-Strasse (Foto Christian Lienhard, Basel)"
