ID;GEST;NUM;Localisati;ADR_S;dep;ARRO;MODELE;NB;TYPE_ENP;CLASSEE;COMPTEUR;OUV_HIVER;SDF;EN_SERVICE;COMM;ADR_APUR;ARR;code;CFA;NUM1;LET;TYPV;LIBV;CLE;num_ox;ARRO1;QUA;A_BOIRE;Geo Shape;Geo Point
728.0;EDP;4;;Place de la Garenne;75.0;75014;An 2000;1.0;Non;Non;Oui;Non;;;;pl de la Garenne;114;1.0;3949;1;;PL;GARENNE;3949-1;numnr;14.0;56.0;1;"{""type"": ""Point"", ""coordinates"": [2.320163457832433, 48.83367570969536]}";48.8336757097,2.32016345783
788.0;DDEEES;;Marché Edgar Quinet;74 boulevard Edgar Quinet;75.0;75014;Borne marché;1.0;Non;Non;;;;;;74 boulevard Edgar Quinet;114;13.0;3116;74;;BD;EDGAR QUINET;3116-74;;14.0;53.0;0;"{""type"": ""Point"", ""coordinates"": [2.323184233679306, 48.84195650733105]}";48.8419565073,2.32318423368
221.0;DDEEES;;Marché Raspail;77 boulevard Raspail;75.0;75006;Borne marché;1.0;Non;Non;;;;;;77 boulevard Raspail;106;13.0;8045;77;;BD;RASPAIL;8045-77;;6.0;23.0;0;"{""type"": ""Point"", ""coordinates"": [2.327627202485696, 48.84877909994473]}";48.8487790999,2.32762720249
44.0;DVD;2/112;;27 Boulevard des Capucines;75.0;75002;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;27 Boulevard des Capucines;102;14.0;1524;27;;BD;CAPUCINES;1524-27;;2.0;5.0;1;"{""type"": ""Point"", ""coordinates"": [2.330827447700374, 48.87024701691277]}";48.8702470169,2.3308274477
198.0;DEVE;;Square Laurent-Praches;1 place Saint-Germain-des-Prés;75.0;75006;Modèle spécifique;1.0;Non;Non;Non;Non;Oui;Oui;;1 place Saint Germain des Pres;106;7.0;8622;1;;PL;SAINT GERMAIN DES PRES;8622-1;;6.0;24.0;1;"{""type"": ""Point"", ""coordinates"": [2.334174320645885, 48.854255823208376]}";48.8542558232,2.33417432065
208.0;EDP;17;;Place Saint-Sulpice;75.0;75006;Wallace;1.0;Non;;Oui;Non;;;;pl Saint Sulpice;106;11.0;8771;1;;PL;SAINT SULPICE;8771-1;numnr;6.0;22.0;1;"{""type"": ""Point"", ""coordinates"": [2.333006552578919, 48.85065721018828]}";48.8506572102,2.33300655258
188.0;DVD;5/103;;88 ter Boulevard de Port Royal;75.0;75005;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;88 ter Boulevard de Port Royal;105;14.0;7740;88;T;BD;PORT ROYAL;7740-88T;;5.0;19.0;1;"{""type"": ""Point"", ""coordinates"": [2.338781662543785, 48.8393069932624]}";48.8393069933,2.33878166254
1160.0;DEVE;144;;25 rue des Cloÿs;75.0;75018;Fontaine ornementale;1.0;;;;;;;;25 rue des Cloys;118;12.0;2157;25;;RUE;CLOYS;2157-25;;18.0;69.0;0;"{""type"": ""Point"", ""coordinates"": [2.338025383545406, 48.892031321153425]}";48.8920313212,2.33802538355
1151.0;EDP;81;;2 rue Azais;75.0;75018;Wallace;1.0;Non;;Oui;Non;;;;2 rue Azais;118;11.0;0612;2;;RUE;AZAIS;0612-2;;18.0;70.0;1;"{""type"": ""Point"", ""coordinates"": [2.341451278128865, 48.88600902422273]}";48.8860090242,2.34145127813
38.0;DDEEES;;Marché Bourse;Place de la Bourse;75.0;75002;Borne marché;1.0;Non;Non;;;;;;pl de la Bourse;102;13.0;1216;1;;PL;BOURSE;1216-1;numnr;2.0;6.0;0;"{""type"": ""Point"", ""coordinates"": [2.340862764282909, 48.869636436771074]}";48.8696364368,2.34086276428
663.0;DEVE;95;;69 boulevard Arago;75.0;75013;Fontaine ornementale;1.0;;;;;;;;69 boulevard Arago;113;12.0;0402;69;;BD;ARAGO;0402-69;;13.0;52.0;0;"{""type"": ""Point"", ""coordinates"": [2.342695360499469, 48.83449939937558]}";48.8344993994,2.3426953605
23.0;DDEEES;;Marché Saint-Eustache-Les-Halles;3 rue Montmartre;75.0;75001;Borne marché;1.0;Non;Non;;;;;;3 rue Montmartre;101;13.0;6513;3;;RUE;MONTMARTRE;6513-3;;1.0;2.0;0;"{""type"": ""Point"", ""coordinates"": [2.344953343828739, 48.863039389113744]}";48.8630393891,2.34495334383
28.0;DVD;1/103;;3 Boulevard Sébastopol;75.0;75001;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;3 Boulevard Sebastopol;101;14.0;8894;3;;BD;SEBASTOPOL;8894-3;;1.0;1.0;1;"{""type"": ""Point"", ""coordinates"": [2.348742798794087, 48.8599476472686]}";48.8599476473,2.34874279879
647.0;EDP;44;;38 rue de la Butte aux Cailles;75.0;75013;Wallace;1.0;Non;;Oui;Non;;;;38 rue de la Butte aux Cailles;113;11.0;1394;38;;RUE;BUTTE AUX CAILLES;1394-38;;13.0;51.0;1;"{""type"": ""Point"", ""coordinates"": [2.348735812097903, 48.82749944995424]}";48.82749945,2.3487358121
84.0;DEVE;;Square de la Tour St-Jacques;39 bis rue de Rivoli;75.0;75004;Borne-fontaine;2.0;Non;Non;Non;Non;Oui;Oui;;39 bis rue de Rivoli;104;4.0;8249;39;B;RUE;RIVOLI;8249-39B;;4.0;13.0;1;"{""type"": ""Point"", ""coordinates"": [2.348413606539832, 48.857910816850385]}";48.8579108169,2.34841360654
1167.0;DDEEES;;Marché Ornano;14 boulevard Ornano;75.0;75018;Borne marché;1.0;Non;Non;;;;;;14 boulevard Ornano;118;13.0;6946;14;;BD;ORNANO;6946-14;;18.0;70.0;0;"{""type"": ""Point"", ""coordinates"": [2.349207835690312, 48.89246234081884]}";48.8924623408,2.34920783569
78.0;EDP;1;;10 rue d'Arcole;75.0;75004;An 2000;1.0;Non;Non;Oui;Non;;;;10 rue d Arcole;104;1.0;0423;10;;RUE;ARCOLE;0423-10;;4.0;16.0;1;"{""type"": ""Point"", ""coordinates"": [2.349058740398578, 48.85361713167807]}";48.8536171317,2.3490587404
619.0;DEVE;;Jardin Brassaï;59 A boulevard Auguste-Blanqui;75.0;75013;Borne-fontaine;1.0;Non;Non;Non;Non;Oui;Oui;;59 A bd Auguste Blanqui;113;4.0;0541;59;;BD;AUGUSTE BLANQUI;0541-59;;13.0;51.0;1;"{""type"": ""Point"", ""coordinates"": [2.349160300397741, 48.828803755453116]}";48.8288037555,2.3491603004
128.0;DVD;4/102;;4 quai de Gesvres;75.0;75004;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;4 quai de Gesvres;104;14.0;4180;4;;QU;GESVRES;4180-4;;4.0;13.0;1;"{""type"": ""Point"", ""coordinates"": [2.350576291811614, 48.856338021378264]}";48.8563380214,2.35057629181
