,X,Y,X_dms,Y-dms,primaryind,nummer,brunnenart,historisch,wasserart_,bezeichnun,qid
47,8.5477032,47.37088538,"E8°32'51.73","N47°22'15.18",48,15,öffentlicher Brunnen,1726,Quellwasser,,
48,8.546600459,47.36972312,"E8°32'47.76","N47°22'11.00",49,20,öffentlicher Brunnen,1842,Quellwasser,Trittligasse,
49,8.547706023,47.36945107,"E8°32'51.74","N47°22'10.02",50,25,öffentlicher Brunnen,1866,Verteilnetz,oberer Hirschengraben,
50,8.579200646,47.36266734,"E8°34'45.12","N47°21'45.60",51,723,Brunnen des Verschönerungsvereins,,Quellwasser,Quelle und Brunnen,
51,8.543092092,47.37104982,"E8°32'35.13","N47°22'15.77",52,4,öffentlicher Brunnen,1431,Quellwasser,"Fischmarkt-, Samsonbrunnen",Q27229659
52,8.590394719,47.35860375,"E8°35'25.42","N47°21'30.97",53,362,öffentlicher Brunnen,1950,Verteilnetz,,Q27229822
53,8.575736843,47.36100982,"E8°34'32.65","N47°21'39.63",54,724,Brunnen mit eigener Versorgung,,Quellwasser,,
54,8.594699238,47.35745127,"E8°35'40.91","N47°21'26.82",55,792,privater Brunnen,,Verteilnetz,bei der Kirche,
55,8.583531754,47.35837208,"E8°35'0.714","N47°21'30.13",56,356,öffentlicher Brunnen,1938,Verteilnetz,,
56,8.586263082,47.35792107,"E8°35'10.54","N47°21'28.51",57,1004,privater Brunnen,,Verteilnetz,Ref. Kirchgemeinde Witikon,
57,8.569064442,47.35864109,"E8°34'8.631","N47°21'31.10",58,973,Brunnen in städtischer Liegenschaft,1975,Verteilnetz,unterhalb Forchstrasse,
58,8.568837337,47.36011497,"E8°34'7.814","N47°21'36.41",59,307,öffentlicher Brunnen,1928,Quellwasser,,
59,8.562762847,47.36325991,"E8°33'45.94","N47°21'47.73",60,596,Brunnen in städtischer Liegenschaft,1894,Verteilnetz,Schulhaus Freiestrasse,
60,8.566559974,47.36407294,"E8°33'59.61","N47°21'50.66",61,353,öffentlicher Brunnen,1936,Verteilnetz,,
61,8.556606292,47.35866873,"E8°33'23.78","N47°21'31.20",62,935,Brunnen mit eigener Versorgung,1734,Quellwasser,im Hof,
62,8.554211795,47.36175859,"E8°33'15.16","N47°21'42.33",63,392,öffentlicher Brunnen,1903,Quellwasser,,
63,8.553769883,47.36082042,"E8°33'13.57","N47°21'38.95",64,372,öffentlicher Brunnen,1870,Quellwasser,,
64,8.529264448,47.35559761,"E8°31'45.35","N47°21'20.15",65,138,öffentlicher Brunnen,1932,Quellwasser,,Q27229885
