,X,Y,X_dms,Y-dms,primaryind,nummer,brunnenart,historisch,wasserart_,bezeichnun,qid
188,8.526675221,47.37626967,"E8°31'36.03","N47°22'34.57",189,224,öffentlicher Brunnen,1953,Quellwasser,,
189,8.524003406,47.37715127,"E8°31'26.41","N47°22'37.74",190,237,öffentlicher Brunnen,1938,Quellwasser,Bäckeranlage,
190,8.525248311,47.37866182,"E8°31'30.89","N47°22'43.18",191,571,Brunnen in städtischer Liegenschaft,,Quellwasser,Schulhaus Hohlstrasse,
191,8.512617911,47.37400974,"E8°30'45.42","N47°22'26.43",192,549,Brunnen in städtischer Liegenschaft,,Verteilnetz,Schulhaus Aemtlerstrasse,
192,8.511225887,47.37456276,"E8°30'40.41","N47°22'28.42",193,552.1,Brunnen in städtischer Liegenschaft,1912,Verteilnetz,Friedhof Sihlfeld B,
193,8.515447323,47.37188988,"E8°30'55.61","N47°22'18.80",194,185,öffentlicher Brunnen,1925,Verteilnetz,Kirchgemeindehaus,
194,8.51751973,47.37241043,"E8°31'3.071","N47°22'20.67",195,181,öffentlicher Brunnen,1904,Quellwasser,,
195,8.517391897,47.37192226,"E8°31'2.610","N47°22'18.92",196,548,Brunnen in städtischer Liegenschaft,,Quellwasser,Schulhaus Zurlindenstrasse,
196,8.516957938,47.37399226,"E8°31'1.048","N47°22'26.37",197,189,öffentlicher Brunnen,1927,Quellwasser,Gertrudstrasse (Anlage),Q27229929
197,8.534465715,47.37232607,"E8°32'4.076","N47°22'20.37",198,1081,öffentlicher Brunnen,1983,Verteilnetz,Basiliskenbrunnen,Q27229668
198,8.533402626,47.3730856,"E8°32'0.249","N47°22'23.10",199,66,öffentlicher Brunnen,1946,Quellwasser,,Q27229964
199,8.5325159,47.374353,"E8°31'57.05","N47°22'27.67",200,222,öffentlicher Brunnen,,Quellwasser,,
200,8.528616695,47.3768823,"E8°31'43.02","N47°22'36.77",201,233,öffentlicher Brunnen,1933,Quellwasser,,
201,8.529199753,47.3723613,"E8°31'45.11","N47°22'20.50",202,225,öffentlicher Brunnen,1983,Quellwasser,,
202,8.536991506,47.37721958,"E8°32'13.16","N47°22'37.99",203,41,öffentlicher Brunnen,1905,Verteilnetz,Schützengasse,
203,8.538307815,47.37634495,"E8°32'17.90","N47°22'34.84",204,37,Brunnen in städtischer Liegenschaft,1879,Verteilnetz,,Q27230226
204,8.533033065,47.37175621,"E8°31'58.91","N47°22'18.32",205,996,Brunnen in städtischer Liegenschaft,,Verteilnetz,Im Hofe des Hallenbads,
205,8.530850172,47.37854879,"E8°31'51.06","N47°22'42.77",206,1093,Brunnen in städtischer Liegenschaft,1984,Quellwasser,Berufsschule,
206,8.525830461,47.37299588,"E8°31'32.98","N47°22'22.78",207,220,öffentlicher Brunnen,,Quellwasser,,
207,8.523404606,47.37225364,"E8°31'24.25","N47°22'20.11",208,187,öffentlicher Brunnen,1926,Quellwasser,,
208,8.525932916,47.3719731,"E8°31'33.35","N47°22'19.10",209,218,öffentlicher Brunnen,,Quellwasser,,
209,8.525401396,47.37435832,"E8°31'31.44","N47°22'27.68",210,228,öffentlicher Brunnen,1916,Quellwasser,,Q27229909
210,8.526042431,47.37512232,"E8°31'33.75","N47°22'30.44",211,572,Brunnen in städtischer Liegenschaft,,Quellwasser,Schulhaus Kanzleistrasse,
211,8.523369784,47.37538156,"E8°31'24.13","N47°22'31.37",212,566,Brunnen in städtischer Liegenschaft,1953,Verteilnetz,Schulhaus Wengi,
212,8.530595956,47.38614207,"E8°31'50.14","N47°23'10.11",213,582,Brunnen in städtischer Liegenschaft,,Verteilnetz,Schulhaus Kornhausbrücke,
213,8.523300826,47.3783811,"E8°31'23.88","N47°22'42.17",214,213,öffentlicher Brunnen,1928,Quellwasser,Bäckeranlage,
214,8.536759643,47.39590274,"E8°32'12.33","N47°23'45.24",215,591,Brunnen in städtischer Liegenschaft,1948,Verteilnetz,Spielwiese Milchbuck,
215,8.473550567,47.38883689,"E8°28'24.78","N47°23'19.81",216,912,Brunnen in städtischer Liegenschaft,,Verteilnetz,Schulhaus Chriesiweg,
216,8.466215535,47.38629554,"E8°27'58.37","N47°23'10.66",217,1142,Brunnen des Verschönerungsvereins,1989,Quellwasser,Altstetten,
217,8.475720088,47.39104201,"E8°28'32.59","N47°23'27.75",218,765,privater Brunnen,1949,Verteilnetz,an der Quartierstrasse,
218,8.479186906,47.39073897,"E8°28'45.07","N47°23'26.66",219,429,öffentlicher Brunnen,1948,Verteilnetz,,
219,8.481066825,47.38608264,"E8°28'51.84","N47°23'9.897",220,420,öffentlicher Brunnen,1933,Quellwasser,Fröschen-Brunnen,Q27229923
220,8.481813448,47.38799811,"E8°28'54.52","N47°23'16.79",221,623,Brunnen in städtischer Liegenschaft,,Verteilnetz,Schulhaus Dachslernstrasse,
221,8.480095255,47.38861199,"E8°28'48.34","N47°23'19.00",222,412,öffentlicher Brunnen,1772,Verteilnetz,Hallenbad Altstetten,
222,8.48080828,47.3887343,"E8°28'50.90","N47°23'19.44",223,911,Brunnen in städtischer Liegenschaft,1974,Verteilnetz,"Städelihaus, Ortsmuseum",
223,8.47687707,47.38749796,"E8°28'36.75","N47°23'14.99",224,432,öffentlicher Brunnen,1952,Quellwasser,,Q27230208
224,8.483425592,47.39060212,"E8°29'0.332","N47°23'26.16",225,430,öffentlicher Brunnen,1949,Verteilnetz,Badener-Hohlstrasse,
225,8.492707772,47.38612877,"E8°29'33.74","N47°23'10.06",226,627,Brunnen in städtischer Liegenschaft,,Verteilnetz,Schulhaus Kappeli,
226,8.490822687,47.3870134,"E8°29'26.96","N47°23'13.24",227,423,öffentlicher Brunnen,1937,Verteilnetz,,Q27229957
227,8.490324895,47.38948197,"E8°29'25.16","N47°23'22.13",228,1158,öffentlicher Brunnen,1991,Verteilnetz,,
228,8.484874296,47.38666925,"E8°29'5.547","N47°23'12.00",229,762,privater Brunnen,1941,Verteilnetz,bei der Kirche Altstetten,
229,8.485716837,47.38765764,"E8°29'8.580","N47°23'15.56",230,413,öffentlicher Brunnen,1773,Verteilnetz,,
230,8.4599026,47.38116856,"E8°27'35.64","N47°22'52.20",231,717,Brunnen des Verschönerungsvereins,1961,Quellwasser,Korporationswald Altstetten,
231,8.46736595,47.38500221,"E8°28'2.517","N47°23'6.007",232,845,Brunnen mit eigener Versorgung,,Quellwasser,CVJM-Quelle,
232,8.494389962,47.38331757,"E8°29'39.80","N47°22'59.94",233,1113,privater Brunnen,1986,Verteilnetz,UBS,
233,8.484899852,47.38301515,"E8°29'5.639","N47°22'58.85",234,6007,Notwasserbrunnen,1977,Quellwasser,,
234,8.486019938,47.38519196,"E8°29'9.671","N47°23'6.691",235,630,Brunnen in städtischer Liegenschaft,,Verteilnetz,Schulhaus Eugen Huber-Strasse,
235,8.477772259,47.38492783,"E8°28'39.98","N47°23'5.740",236,508,öffentlicher Brunnen,1974,Quellwasser,,Q27230211
236,8.486147568,47.38086774,"E8°29'10.13","N47°22'51.12",237,635,Brunnen in städtischer Liegenschaft,1962,Verteilnetz,GZ bei Voli?re,
237,8.472184951,47.38184689,"E8°28'19.86","N47°22'54.64",238,734,Brunnen des Verschönerungsvereins,,Quellwasser,,
238,8.484190923,47.37530707,"E8°29'3.087","N47°22'31.10",239,416,öffentlicher Brunnen,1781,Quellwasser,,
239,8.48650713,47.37265493,"E8°29'11.42","N47°22'21.55",240,625,Brunnen in städtischer Liegenschaft,,Verteilnetz,Schulhaus Triemlistrasse,
240,8.484519031,47.37428529,"E8°29'4.268","N47°22'27.42",241,431,öffentlicher Brunnen,1949,Verteilnetz,Tramstation,
241,8.483280131,47.37445371,"E8°28'59.80","N47°22'28.03",242,415,öffentlicher Brunnen,1780,Quellwasser,,
242,8.468048629,47.37729458,"E8°28'4.975","N47°22'38.26",243,735,Brunnen des Verschönerungsvereins,,Quellwasser,"Bachtobelweg, bei Grossmutter E",
243,8.482103778,47.37406141,"E8°28'55.57","N47°22'26.62",244,414,öffentlicher Brunnen,1778,Quellwasser,,
244,8.482976393,47.37827304,"E8°28'58.71","N47°22'41.78",245,428,öffentlicher Brunnen,1947,Quellwasser,,Q27230071
245,8.47842114,47.375239,"E8°28'42.31","N47°22'30.86",246,1005,Brunnen des Verschönerungsvereins,1977,Verteilnetz,Schiessplatz + Fam.-Erholungsanlage,
246,8.476296658,47.36776641,"E8°28'34.66","N47°22'3.959",247,796.2,privater Brunnen,,Quellwasser,Blockhaus ETH,
247,8.494169473,47.36377397,"E8°29'39.01","N47°21'49.58",248,1092,Brunnen in städtischer Liegenschaft,1984,Verteilnetz,bei Filter Triemli,
248,8.469709503,47.37072138,"E8°28'10.95","N47°22'14.59",249,425,öffentlicher Brunnen,1939,Verteilnetz,Waldegg,
249,8.469455288,47.36405849,"E8°28'10.03","N47°21'50.61",250,1128,Brunnen mit eigener Versorgung,1987,Quellwasser,,
250,8.485319335,47.35731118,"E8°29'7.149","N47°21'26.32",251,730,Brunnen mit eigener Versorgung,,Quellwasser,,
251,8.487278195,47.36092684,"E8°29'14.20","N47°21'39.33",252,713,Brunnen des Verschönerungsvereins,,Quellwasser,Spielwiese Uetliberg,
252,8.490739033,47.35116616,"E8°29'26.66","N47°21'4.198",253,715,Brunnen des Verschönerungsvereins,1960,Verteilnetz,Uetliberg bei Fernsehstation,
253,8.490843852,47.3487326,"E8°29'27.03","N47°20'55.43",254,186,öffentlicher Brunnen,1925,Verteilnetz,beim Kindlistein,
254,8.49519054,47.34677609,"E8°29'42.68","N47°20'48.39",255,714,Brunnen des Verschönerungsvereins,1930,Verteilnetz,beim Rest. Staffel,
255,8.492869606,47.36688253,"E8°29'34.33","N47°22'0.777",256,6043,Notwasserbrunnen,1982,Quellwasser,,
256,8.546138111,47.42527211,"E8°32'46.09","N47°25'30.97",257,473,öffentlicher Brunnen,,Verteilnetz,,
257,8.519208,47.42451281,"E8°31'9.148","N47°25'28.24",258,1127,privater Brunnen,1987,Verteilnetz,,
258,8.530783159,47.42947938,"E8°31'50.81","N47°25'46.12",259,1061,öffentlicher Brunnen,1981,Verteilnetz,Im Wald,
259,8.511151037,47.42932712,"E8°30'40.14","N47°25'45.57",260,1101,privater Brunnen,1985,Verteilnetz,Rastplatz Büsisee-Süd,
260,8.511736185,47.43066691,"E8°30'42.25","N47°25'50.40",261,1102,privater Brunnen,1985,Verteilnetz,Rastplatz Büsisee-Nord,
261,8.512139948,47.42796036,"E8°30'43.70","N47°25'40.65",262,1151,öffentlicher Brunnen,1991,Verteilnetz,beim Katzenbach,
262,8.51302104,47.42359366,"E8°30'46.87","N47°25'24.93",263,1162,Brunnen in städtischer Liegenschaft,1992,Verteilnetz,Altersheim Wolfswinkel,
263,8.573617053,47.39799891,"E8°34'25.02","N47°23'52.79",264,505,öffentlicher Brunnen,1967,Verteilnetz,oberhalb Ziegelhütte bei Waldhütte,
264,8.574231751,47.39796043,"E8°34'27.23","N47°23'52.65",265,705,Brunnen des Verschönerungsvereins,1897,Verteilnetz,,
265,8.578659145,47.40387789,"E8°34'43.17","N47°24'13.96",266,755,privater Brunnen,1952,Verteilnetz,,
266,8.57471801,47.4034746,"E8°34'28.98","N47°24'12.50",267,504,öffentlicher Brunnen,1959,Verteilnetz,bei der Kirche,
267,8.573163795,47.40406942,"E8°34'23.38","N47°24'14.64",268,6061,Notwasserbrunnen,1986,Quellwasser,,
268,8.573393775,47.40376272,"E8°34'24.21","N47°24'13.54",269,494,öffentlicher Brunnen,1789,Quellwasser,,
269,8.571942508,47.40402044,"E8°34'18.99","N47°24'14.47",270,493,öffentlicher Brunnen,1783,Quellwasser,,
270,8.570656292,47.40386193,"E8°34'14.36","N47°24'13.90",271,496,öffentlicher Brunnen,1797,Verteilnetz,,
271,8.543479418,47.38343804,"E8°32'36.52","N47°23'0.376",272,6013,Notwasserbrunnen,1977,Quellwasser,,
272,8.573171125,47.40632651,"E8°34'23.41","N47°24'22.77",273,1152,öffentlicher Brunnen,1991,Verteilnetz,vor Altersheim Herzogenmühle,
273,8.572820063,47.40536721,"E8°34'22.15","N47°24'19.32",274,1073,Brunnen in städtischer Liegenschaft,1982,Verteilnetz,,
274,8.572337851,47.40472385,"E8°34'20.41","N47°24'17.00",275,1110,öffentlicher Brunnen,1986,Quellwasser,vav. Herzogenmühlestrasse 4,Q27229874
275,8.570382811,47.40347946,"E8°34'13.37","N47°24'12.52",276,497,öffentlicher Brunnen,1797,Quellwasser,,
276,8.592167055,47.39950353,"E8°35'31.80","N47°23'58.21",277,6054,Notwasserbrunnen,1985,Quellwasser,,
277,8.571118738,47.40847353,"E8°34'16.02","N47°24'30.50",278,703.2,Brunnen in städtischer Liegenschaft,1959,Verteilnetz,Freibad Auhof,
278,8.571357513,47.40818268,"E8°34'16.88","N47°24'29.45",279,703.3,Brunnen in städtischer Liegenschaft,1959,Verteilnetz,Freibad Auhof,
279,8.57150245,47.40794123,"E8°34'17.40","N47°24'28.58",280,703.4,Brunnen in städtischer Liegenschaft,1959,Verteilnetz,Freibad Auhof,
280,8.572392205,47.41079117,"E8°34'20.61","N47°24'38.84",281,6046,Notwasserbrunnen,1983,Quellwasser,,
281,8.5555483,47.40440466,"E8°33'19.97","N47°24'15.85",282,485,öffentlicher Brunnen,1940,Verteilnetz,,Q27230165
282,8.562676055,47.40424008,"E8°33'45.63","N47°24'15.26",283,502,öffentlicher Brunnen,1953,Verteilnetz,Haltestelle Frohburg,
283,8.584394958,47.40069253,"E8°35'3.821","N47°24'2.493",284,6053,Notwasserbrunnen,1985,Quellwasser,,
284,8.537815311,47.40940659,"E8°32'16.13","N47°24'33.86",285,480,öffentlicher Brunnen,1935,Quellwasser,,Q27230098
285,8.521494719,47.41053055,"E8°31'17.38","N47°24'37.90",286,689,Brunnen in städtischer Liegenschaft,1961,Verteilnetz,Kinderspielplatz,
286,8.525380949,47.41172507,"E8°31'31.37","N47°24'42.21",287,478,öffentlicher Brunnen,1935,Quellwasser,,Q27230090
287,8.5460896,47.40996902,"E8°32'45.92","N47°24'35.88",288,1114.1,öffentlicher Brunnen,1986,Verteilnetz,Albert Näf-Platz,
288,8.546227583,47.40955149,"E8°32'46.41","N47°24'34.38",289,1114.2,öffentlicher Brunnen,1986,Verteilnetz,Albert Näf-Platz,
289,8.546771374,47.40721679,"E8°32'48.37","N47°24'25.98",290,1145,öffentlicher Brunnen,1989,Quellwasser,Kreisgebäude,
290,8.572793954,47.4078735,"E8°34'22.05","N47°24'28.34",291,679.2,Brunnen in städtischer Liegenschaft,,Verteilnetz,Schulhaus Herzogenmühle,
291,8.573470221,47.40881334,"E8°34'24.49","N47°24'31.72",292,679.1,Brunnen in städtischer Liegenschaft,,Verteilnetz,Schulhaus Herzogenmühle,
292,8.571936384,47.40758632,"E8°34'18.97","N47°24'27.31",293,687,Brunnen in städtischer Liegenschaft,1959,Verteilnetz,Schulhaus Auhof,
293,8.567989583,47.40475628,"E8°34'4.762","N47°24'17.12",294,658,Brunnen in städtischer Liegenschaft,,Verteilnetz,Schulhaus Friedrichstrasse 21,
294,8.569110118,47.40570855,"E8°34'8.796","N47°24'20.55",295,6018,Notwasserbrunnen,1978,Quellwasser,,
295,8.549927725,47.403932,"E8°32'59.73","N47°24'14.15",296,1094,öffentlicher Brunnen,1984,Quellwasser,,
296,8.547686631,47.4032062,"E8°32'51.67","N47°24'11.54",297,484,öffentlicher Brunnen,1937,Quellwasser,,Q27230121
297,8.545700686,47.41754895,"E8°32'44.52","N47°25'3.176",298,483,öffentlicher Brunnen,1938,Quellwasser,,Q27230122
298,8.548179246,47.40726733,"E8°32'53.44","N47°24'26.16",299,512,öffentlicher Brunnen,,Verteilnetz,Kanzleibrunnen,
299,8.55048367,47.40728732,"E8°33'1.741","N47°24'26.23",300,495,öffentlicher Brunnen,1793,Quellwasser,,
300,8.549298558,47.40461376,"E8°32'57.47","N47°24'16.60",301,749,privater Brunnen,1941,Quellwasser,bei der Christuskirche,
301,8.563395507,47.4101726,"E8°33'48.22","N47°24'36.62",302,501,öffentlicher Brunnen,1949,Verteilnetz,im Grünzug,Q27230119
302,8.508788561,47.424703,"E8°30'31.63","N47°25'28.93",303,481,öffentlicher Brunnen,1937,Verteilnetz,,
303,8.500950272,47.41669752,"E8°30'3.420","N47°25'0.111",304,1165,Brunnen in städtischer Liegenschaft,1992,Verteilnetz,,
304,8.547402036,47.40042663,"E8°32'50.64","N47°24'1.535",305,6055,Notwasserbrunnen,1985,Quellwasser,,
305,8.546803597,47.40828163,"E8°32'48.49","N47°24'29.81",306,474,öffentlicher Brunnen,1913,Verteilnetz,,
306,8.54911898,47.40795388,"E8°32'56.82","N47°24'28.63",307,468,öffentlicher Brunnen,1793,Verteilnetz,,
307,8.508985994,47.42577439,"E8°30'32.34","N47°25'32.78",308,6049,Notwasserbrunnen,1984,Verteilnetz,Horensteinstrasse,
308,8.501823643,47.42100975,"E8°30'6.565","N47°25'15.63",309,491,öffentlicher Brunnen,1955,Verteilnetz,,
309,8.539603761,47.40883858,"E8°32'22.57","N47°24'31.81",310,6073,Notwasserbrunnen,1994,Quellwasser,,
310,8.481501053,47.40532423,"E8°28'53.40","N47°24'19.16",311,464,öffentlicher Brunnen,1956,Verteilnetz,Endstation Frankental,Q27230112
311,8.489320705,47.41676699,"E8°29'21.55","N47°25'0.361",312,1087,Brunnen des Verschönerungsvereins,1983,Verteilnetz,,
312,8.475228928,47.41470915,"E8°28'30.82","N47°24'52.95",313,438,öffentlicher Brunnen,1825,Verteilnetz,Rütihof,
313,8.489327349,47.40237585,"E8°29'21.57","N47°24'8.553",314,445,öffentlicher Brunnen,,Verteilnetz,,
314,8.492813581,47.39468287,"E8°29'34.12","N47°23'40.85",315,1048,Brunnen in städtischer Liegenschaft,1981,Verteilnetz,"bei Verteilanlage, Wasserschloss",Q27229847
315,8.496370283,47.39560972,"E8°29'46.93","N47°23'44.19",316,1049,Brunnen in städtischer Liegenschaft,1981,Verteilnetz,hinter Hardhof 44,Q27229848
316,8.517215008,47.4007085,"E8°31'1.974","N47°24'2.550",317,452,öffentlicher Brunnen,1926,Verteilnetz,Waidterrasse,
317,8.50380598,47.40530181,"E8°30'13.70","N47°24'19.08",318,450,öffentlicher Brunnen,1914,Verteilnetz,,
318,8.50503013,47.40456556,"E8°30'18.10","N47°24'16.43",319,847,Brunnen mit eigener Versorgung,,Verteilnetz,,
319,8.513960932,47.40313251,"E8°30'50.25","N47°24'11.27",320,1046,Brunnen in städtischer Liegenschaft,1981,Verteilnetz,Reservoir Waidberg,
320,8.520208088,47.40096136,"E8°31'12.74","N47°24'3.460",321,1082,Brunnen in städtischer Liegenschaft,1983,Verteilnetz,bei Quellwasserfilter Gubel,
321,8.522041127,47.40321837,"E8°31'19.34","N47°24'11.58",322,701,Brunnen in städtischer Liegenschaft,1952,Verteilnetz,Waldweiher Käferberg,
322,8.537850148,47.40589374,"E8°32'16.26","N47°24'21.21",323,486,öffentlicher Brunnen,1940,Quellwasser,Ringstrasse,Q27229779
323,8.522630651,47.40747662,"E8°31'21.47","N47°24'26.91",324,642,Brunnen in städtischer Liegenschaft,1948,Verteilnetz,Im Käferbergwald,
324,8.513071754,47.40669933,"E8°30'47.05","N47°24'24.11",325,998,Brunnen in städtischer Liegenschaft,1976,Verteilnetz,oberh.  ETH-Hönggerberg,
325,8.549712107,47.36924137,"E8°32'58.96","N47°22'9.268",326,1117,privater Brunnen,1986,Verteilnetz,,
326,8.538507474,47.40446968,"E8°32'18.62","N47°24'16.09",327,702.2,Brunnen in städtischer Liegenschaft,,Verteilnetz,Freibad Allenmoos,
327,8.53840387,47.40521375,"E8°32'18.25","N47°24'18.76",328,702.1,Brunnen in städtischer Liegenschaft,,Verteilnetz,Freibad Allenmoos,
328,8.493106786,47.40240744,"E8°29'35.18","N47°24'8.666",329,462,öffentlicher Brunnen,1947,Verteilnetz,Tramschleife Wartau,
329,8.514308478,47.39962895,"E8°30'51.51","N47°23'58.66",330,1089,öffentlicher Brunnen,1984,Verteilnetz,Rest. Waid,
330,8.499458339,47.40216321,"E8°29'58.05","N47°24'7.787",331,454,öffentlicher Brunnen,1928,Verteilnetz,,
331,8.499933313,47.40281812,"E8°29'59.75","N47°24'10.14",332,465,öffentlicher Brunnen,1957,Verteilnetz,,Q27230124
332,8.505235735,47.39380701,"E8°30'18.84","N47°23'37.70",333,254,öffentlicher Brunnen,1932,Verteilnetz,vor Stadion Hardturm,
333,8.503694799,47.39419459,"E8°30'13.30","N47°23'39.10",334,1014.2,Brunnen in städtischer Liegenschaft,1982,Verteilnetz,"Tramstation Hardturm, Trinkbrunnen",Q27230053
334,8.518177889,47.39848456,"E8°31'5.440","N47°23'54.54",335,467,öffentlicher Brunnen,1967,Verteilnetz,,
335,8.506658427,47.40114251,"E8°30'23.97","N47°24'4.113",336,1068,Brunnen in städtischer Liegenschaft,1982,Verteilnetz,Reservoir Höngg,
336,8.499109063,47.40197404,"E8°29'56.79","N47°24'7.106",337,6067,Notwasserbrunnen,1988,Quellwasser,,
337,8.4972908,47.40179533,"E8°29'50.24","N47°24'6.463",338,466,öffentlicher Brunnen,1961,Quellwasser,Kirche Höngg,
338,8.497863276,47.4019303,"E8°29'52.30","N47°24'6.949",339,433,öffentlicher Brunnen,1784,Quellwasser,,
339,8.496498285,47.40364351,"E8°29'47.39","N47°24'13.11",340,439,öffentlicher Brunnen,1825,Quellwasser,,
340,8.496178385,47.40299996,"E8°29'46.24","N47°24'10.79",341,434,öffentlicher Brunnen,1789,Quellwasser,,
341,8.495580883,47.40232052,"E8°29'44.09","N47°24'8.353",342,441,öffentlicher Brunnen,1883,Quellwasser,,
342,8.521976784,47.3996634,"E8°31'19.11","N47°23'58.78",343,693,Brunnen in städtischer Liegenschaft,,Quellwasser,Spielplatz,
343,8.526690529,47.39741904,"E8°31'36.08","N47°23'50.70",344,639.2,Brunnen in städtischer Liegenschaft,,Verteilnetz,"Schulhaus Waidhalde, Turnhalle",
344,8.530094774,47.39845452,"E8°31'48.34","N47°23'54.43",345,436,öffentlicher Brunnen,1937,Quellwasser,obere Waidstrasse,
345,8.52962846,47.39969509,"E8°31'46.66","N47°23'58.90",346,1026,Brunnen des Verschönerungsvereins,1978,Quellwasser,unterer Spielplatz,
346,8.538873165,47.40187527,"E8°32'19.94","N47°24'6.750",347,592.1,Brunnen in städtischer Liegenschaft,,Verteilnetz,Schulhaus Allenmoos I,
347,8.530733857,47.40768849,"E8°31'50.64","N47°24'27.67",348,488,öffentlicher Brunnen,1946,Verteilnetz,,Q27230216
348,8.524910096,47.3933948,"E8°31'29.67","N47°23'36.22",349,461,öffentlicher Brunnen,1940,Quellwasser,,
349,8.504121337,47.41888217,"E8°30'14.83","N47°25'7.975",350,685,Brunnen in städtischer Liegenschaft,1959,Verteilnetz,Schulhaus Holderbach,
350,8.526556546,47.39674381,"E8°31'35.60","N47°23'48.27",351,639.3,Brunnen in städtischer Liegenschaft,,Verteilnetz,"Schulhaus Waidhalde, Turnhalle",
351,8.54605611,47.41693029,"E8°32'45.80","N47°25'0.949",352,1006,privater Brunnen,1977,Quellwasser,beim Altersheim,
352,8.536966807,47.43022363,"E8°32'13.08","N47°25'48.80",353,752,privater Brunnen,1964,Verteilnetz,,
353,8.541814471,47.42912431,"E8°32'30.53","N47°25'44.84",354,1067,öffentlicher Brunnen,1982,Verteilnetz,Asphofbrunnen,
354,8.585919562,47.40027032,"E8°35'9.310","N47°24'0.973",355,500,öffentlicher Brunnen,1946,Quellwasser,,
355,8.571824643,47.4134327,"E8°34'18.56","N47°24'48.35",356,1069,öffentlicher Brunnen,1982,Verteilnetz,Gemeinschaftszentrum Auzelg,
356,8.494860431,47.40928888,"E8°29'41.49","N47°24'33.43",357,1091,öffentlicher Brunnen,1984,Verteilnetz,bei Sportplatz,Q27229864
357,8.50003238,47.39740738,"E8°30'0.116","N47°23'50.66",358,1050,Brunnen in städtischer Liegenschaft,1981,Verteilnetz,oberhalb Europabrücke,Q27230149
358,8.586033651,47.40340776,"E8°35'9.721","N47°24'12.26",359,1172,öffentlicher Brunnen,1994,Verteilnetz,,
359,8.542185044,47.42297443,"E8°32'31.86","N47°25'22.70",360,470,öffentlicher Brunnen,,Verteilnetz,,
360,8.570988176,47.40263358,"E8°34'15.55","N47°24'9.480",361,657,Brunnen in städtischer Liegenschaft,,Quellwasser,Schulhaus Heinrich Bosshardstrasse,
361,8.568828615,47.4026392,"E8°34'7.783","N47°24'9.501",362,870,privater Brunnen,1981,Quellwasser,,
362,8.507087785,47.41914202,"E8°30'25.51","N47°25'8.911",363,490,öffentlicher Brunnen,1954,Verteilnetz,,
363,8.512450134,47.4215401,"E8°30'44.82","N47°25'17.54",364,800.2,Brunnen in städtischer Liegenschaft,,Verteilnetz,,
364,8.541789292,47.40643142,"E8°32'30.44","N47°24'23.15",365,479,öffentlicher Brunnen,1935,Verteilnetz,bei Spielwiese,
365,8.548430404,47.42853299,"E8°32'54.34","N47°25'42.71",366,1189,öffentlicher Brunnen,1996,Verteilnetz,Sportanlage Eichrain,
366,8.500819868,47.40280944,"E8°30'2.951","N47°24'10.11",367,437,öffentlicher Brunnen,,Verteilnetz,Kranzbrunnen,
367,8.513289962,47.41634272,"E8°30'47.84","N47°24'58.83",368,1140,Brunnen in städtischer Liegenschaft,1989,Verteilnetz,,
368,8.542879001,47.42071408,"E8°32'34.36","N47°25'14.57",369,652,Brunnen in städtischer Liegenschaft,,Verteilnetz,Schuhlhaus Buhnrain 40,
369,8.519072848,47.41852637,"E8°31'8.662","N47°25'6.694",370,1066,öffentlicher Brunnen,1982,Grundwasser,,
370,8.508059085,47.40804336,"E8°30'29.01","N47°24'28.95",371,971,privater Brunnen,1974,Verteilnetz,bei Kiosk,
371,8.545020896,47.41889246,"E8°32'42.07","N47°25'8.012",372,903,privater Brunnen,,Verteilnetz,Bahnhof Seebach,
372,8.535063015,47.40900668,"E8°32'6.226","N47°24'32.42",373,475,öffentlicher Brunnen,,Verteilnetz,Birkenwäldli,
373,8.573673301,47.39847575,"E8°34'25.22","N47°23'54.51",374,1059,Brunnen des Verschönerungsvereins,,Verteilnetz,beim Spielplatz,
374,8.519565854,47.41416085,"E8°31'10.43","N47°24'50.97",375,6059,Notwasserbrunnen,1985,Quellwasser,,
375,8.546192783,47.4058905,"E8°32'46.29","N47°24'21.20",376,756,privater Brunnen,1956,Verteilnetz,Kirche,
376,8.484607928,47.41468112,"E8°29'4.588","N47°24'52.85",377,704,Brunnen des Verschönerungsvereins,,Verteilnetz,Heizenholz,
377,8.540533051,47.39377644,"E8°32'25.91","N47°23'37.59",378,291,öffentlicher Brunnen,1931,Verteilnetz,,
378,8.542003899,47.39772809,"E8°32'31.21","N47°23'51.82",379,1118,öffentlicher Brunnen,1986,Verteilnetz,"Tramhaltestelle, Michbuck",
379,8.544737636,47.39357828,"E8°32'41.05","N47°23'36.88",380,290,öffentlicher Brunnen,1931,Verteilnetz,Bambibrunnen,Q27229787
380,8.545173296,47.39588185,"E8°32'42.62","N47°23'45.17",381,287,öffentlicher Brunnen,1929,Verteilnetz,,Q27230203
381,8.545164173,47.39694534,"E8°32'42.59","N47°23'49.00",382,1119,öffentlicher Brunnen,1986,Quellwasser,Irchelpark beim Restaurant Neubühl,
382,8.543347719,47.39997161,"E8°32'36.05","N47°23'59.89",383,262,öffentlicher Brunnen,1958,Verteilnetz,,
383,8.560897984,47.38641811,"E8°33'39.23","N47°23'11.10",384,361,öffentlicher Brunnen,1949,Verteilnetz,,Q27230229
384,8.54795268,47.38805054,"E8°32'52.62","N47°23'16.98",385,275,öffentlicher Brunnen,1912,Quellwasser,,Q27230173
385,8.539015919,47.39102954,"E8°32'20.45","N47°23'27.70",386,301,öffentlicher Brunnen,1949,Quellwasser,,
