lat,lon,wikidata
47.3586029,8.590384,Q27229822
47.3644851,8.5697653,Q55166062
47.3930199,8.5224186,Q27230114
47.3974109,8.5000387,Q27230149
47.4101848,8.5633564,Q27230119
47.4047407,8.5723597,Q27229874
47.3752907,8.5407982,Q55170097
47.3748233,8.5379821,Q27230013
47.3652984,8.5393284,Q27229692
47.3684333,8.5373175,Q27229935
47.4010759,8.502793,Q14906793
47.3609835,8.5718287,Q27230179
47.381027,8.5455867,Q55166828
47.383416,8.5451288,Q55166823
47.3757486,8.5596151,Q55167903
47.3824878,8.5714256,Q27229842
47.3450793,8.525401,Q27229832
47.3440898,8.5238555,Q27229831
47.375699,8.5260544,Q27229789
47.3690114,8.5707674,Q27229879
47.3914245,8.5462082,Q27229861
47.3621043,8.5552466,Q27229859
47.394238,8.5008451,Q27229849
47.3760813,8.5210543,Q27229963
47.3673873,8.5550701,Q27229939
47.3826268,8.5368038,Q27229937
47.3548049,8.5328733,Q27229933
47.3862423,8.5227983,Q27229924
47.372969,8.5368895,Q27229906
47.3794476,8.5112729,Q27229993
47.4175367,8.5456907,Q27230122
47.4031943,8.5476873,Q27230121
47.4053623,8.4814768,Q27230112
47.3928029,8.5198678,Q27230074
47.3941703,8.5036931,Q27230053
47.3589485,8.5319799,Q27230045
47.3572313,8.5298588,Q27230044
47.3543181,8.5349034,Q27230224
47.4121621,8.5150004,Q27230223
47.3915995,8.5095278,Q27230219
47.3713286,8.543652,Q27230214
47.3828569,8.5415501,Q27230212
47.3875052,8.4768746,Q27230208
47.3749105,8.5439819,Q27230207
47.409697,8.4924906,Q27230197
47.4063704,8.5289572,Q27230194
47.4069322,8.5295771,Q27230188
47.3633216,8.549776,Q27230186
47.3745544,8.5112225,Q27230171
47.3588719,8.5475053,Q27230169
47.4070043,8.5286391,Q27230162
47.3436739,8.5351906,Q27230155
47.3578026,8.5144099,Q27230153
47.3324627,8.5123817,Q27230135
47.39837,8.4881235,Q27230131
47.4042169,8.531702,Q27230128
47.3722292,8.5412165,Q27230150
47.3697403,8.5392129,Q55171130
47.3495566,8.5825517,Q55170946
47.3660278,8.5567734,Q55169705
47.3699439,8.5467794,Q55170862
47.3702339,8.5463795,Q27230144
47.3702608,8.5464392,Q63863130
47.3771745,8.5399873,Q55958199
47.3771214,8.5399611,Q27229673
47.3868443,8.5464905,Q27229900
47.3659264,8.554825,Q55170215
47.3729218,8.5412412,Q27229903
47.370306,8.5461823,Q55170437
47.3655218,8.5513134,Q63956193
47.3867474,8.5463606,Q64174346
47.384541,8.5467145,Q64174640
47.3705857,8.5473486,Q55166086
47.3780992,8.5455864,Q55170911
47.3811253,8.5458824,Q55169972
